claim_id	claim	archive	source_url	locator	evidence	qualification
10-01	Kiln published its postmortem on 7 October 2025.	resources/incidents/10/kiln-postmortem.html	https://www.kiln.fi/post/re-enablement-of-kiln-services-and-security-incident-information	Article heading and date	October 7, 2025	Kiln's own account.
10-02	The entry point was a compromised GitHub token belonging to a Kiln infrastructure engineer.	resources/incidents/10/kiln-postmortem.html	https://www.kiln.fi/post/re-enablement-of-kiln-services-and-security-incident-information	Incident description paragraph beginning The investigation has determined	GitHub access token belonging to a Kiln infrastructure engineer	Kiln's investigation; origin of token compromise not established.
10-03	The actor created and immediately deleted branches to trigger CI/CD workflows and harvested stored secrets and cloud credentials.	resources/incidents/10/kiln-postmortem.html	https://www.kiln.fi/post/re-enablement-of-kiln-services-and-security-incident-information	Incident description paragraphs beginning The malicious actor and From the triggered	created and immediately deleted branches; harvested stored secrets and cloud credentials	Kiln's investigation.
10-04	The actor injected a payload into a running Kubernetes pod serving the Kiln Connect API and changed one endpoint's logic.	resources/incidents/10/kiln-postmortem.html	https://www.kiln.fi/post/re-enablement-of-kiln-services-and-security-incident-information	Incident description paragraph beginning The threat actor injected	payload into a running Kubernetes pod; modifying the logic of a Kiln API endpoint	Kiln's investigation.
10-05	The changed endpoint returned a malicious transaction alongside the expected deactivate-stake transaction.	resources/incidents/10/kiln-postmortem.html	https://www.kiln.fi/post/re-enablement-of-kiln-services-and-security-incident-information	Incident description paragraph beginning The threat actor injected	malicious transaction, in addition to the expected deactivate stake transaction	Kiln's wording; SwissBorg describes extra instructions.
10-06	The trigger concerned the existing withdrawal authority of the stake account supplied in the POST having stake balances above 150k SOL.	resources/incidents/10/kiln-postmortem.html	https://www.kiln.fi/post/re-enablement-of-kiln-services-and-security-incident-information	Incident description paragraph beginning The threat actor injected	only if the existing withdrawal authority of the stake account provided in the POST call held stake balances above 150k SOL	This does not say that the individual stake account named in the POST held above 150k SOL.
10-07	One Kiln client used Dashboard to unstake a SOL stake account on 31 August 2025; the malicious transaction was forwarded to custody and approved by a quorum.	resources/incidents/10/kiln-postmortem.html	https://www.kiln.fi/post/re-enablement-of-kiln-services-and-security-incident-information	Incident description paragraph beginning One Kiln client	August 31st; forwarded from Kiln Dashboard to custody; approved by a quorum of signatories	Kiln does not name the client in this paragraph; SwissBorg identifies itself as affected.
10-08	Kiln said it consistently recommended decoding before signing and linked a tool from its Dashboard and documentation.	resources/incidents/10/kiln-postmortem.html	https://www.kiln.fi/post/re-enablement-of-kiln-services-and-security-incident-information	Incident description paragraphs beginning To avoid any risk and Kiln provides	consistently recommended; provides a decoding tool linked from Dashboard	Kiln's position.
10-09	Kiln said it found no evidence of any other malicious transaction or customer loss.	resources/incidents/10/kiln-postmortem.html	https://www.kiln.fi/post/re-enablement-of-kiln-services-and-security-incident-information	Executive summary paragraph beginning There is no evidence; incident description paragraph beginning At this time	no evidence of any other malicious transaction or loss of funds from any other Kiln customers	No-evidence statement, not proof that no other effect occurred.
10-10	The parties' 8 September statement said Solana funds were improperly removed and SwissBorg paused Solana staking.	resources/incidents/10/joint-statement.html	https://swissborg.com/blog/joint-statement-kiln-x-swissborg-regarding-sol-incident	Publication line and first two body paragraphs	8 September 2025; funds improperly removed; paused Solana staking	Initial joint statement says possible unauthorized wallet access, not a final forensic finding.
10-11	Kiln's initial announcement likewise dated the alert to 8 September 2025.	resources/incidents/10/kiln-announcement.html	https://www.kiln.fi/post/sol-incident-swissborg---announcement	Publication line and paragraph beginning SwissBorg and Kiln	alerted earlier today, 8th September 2025	Initial notice.
10-12	SwissBorg said a fraudulent transaction triggered the unstaking of over 192000 SOL on 8 September 2025.	resources/incidents/10/swissborg-account.html	https://swissborg.com/blog/swissborg-security-update-kiln-breach	Paragraph beginning On September 8th Kiln reached out	unstaking of over 192,000 SOL	Say over, not about or exactly; SwissBorg's account.
10-13	SwissBorg said it chose not to rely on Kiln's decoder because it was not integrated, open-sourced or verifiable and failed its security standard.	resources/incidents/10/swissborg-account.html	https://swissborg.com/blog/swissborg-security-update-kiln-breach	Paragraph beginning At the time of the incident	tool not integrated into dashboard, not open-sourced or verifiable, did not meet basic security standards	SwissBorg's position; Kiln describes the tool differently.
10-14	SwissBorg said its wallet infrastructure was not breached and the incident was within Kiln's systems.	resources/incidents/10/swissborg-account.html	https://swissborg.com/blog/swissborg-security-update-kiln-breach	Paragraph beginning The malicious actor did not breach	wallet infrastructure not breached; incident occurred entirely within Kiln's systems	SwissBorg's conclusion, not independently adjudicated here.
10-15	SwissBorg published its account on 17 November 2025.	resources/incidents/10/swissborg-account.html	https://swissborg.com/blog/swissborg-security-update-kiln-breach	Article publication line	17 November 2025	The page also displays a later modified date.
