incident	record	original_url	archive	retrieved_utc	sha256	note
00	Coinbase retrospective	https://www.coinbase.com/blog/retrospective-recent-coinbase-bug-bounty-award	resources/incidents/00/coinbase-retrospective.md	2026-09-23	c62d02b8e8fedfa336d4cebc5bf46662a2dc515e332af136392436406afc514f	Cloudflare blocked a direct fetch; archived as a rendered Markdown snapshot through r.jina.ai, whose snapshot identifies the original URL.
01	Peloton researcher disclosure	https://www.pentestpartners.com/security-blog/tour-de-peloton-exposed-user-data/	resources/incidents/01/peloton-exposed-user-data.html	2026-09-23	c76de054dfdad6426955801c42932d985d7df3ff35974acf8f054bcafa6fe1c2	Direct HTML response.
01	USPS independently verified account	https://krebsonsecurity.com/2018/11/usps-site-exposed-data-on-60-million-users/	resources/incidents/01/usps-informed-visibility.html	2026-09-23	ecff9248506054d273e3390f52a1153f49780d67db838b9ce36c3e77d5dd6d75	Direct HTML response; the researcher remained anonymous and Krebs reports independently confirming the finding.
01	Tinder researcher disclosure	https://blog.includesecurity.com/2014/02/how-i-was-able-to-track-the-location-of-any-tinder-user/	resources/incidents/01/tinder-location.html	2026-09-23	e41d1f0f84e8411681cab650b8371f25b63885986cbdcd2f8bfb43776856ea00	Direct HTML response.
09	Federal Court order with redacted ACMA concise statement	https://ismg-cdn.nyc3.cdn.digitaloceanspaces.com/asset_files/external/pvid42920242300547.pdf	resources/incidents/09/optus-filed-order-and-concise-statement.pdf	2026-09-23	722b997d983c76faba99e57e15aba231489cf30df4be24340145db9fb25d259f	Filed Federal Court document VID429/2024; the court order annexes the redacted concise statement that it permits to be inspected and published.
09	ACMA proceeding statement	https://www.acma.gov.au/acma-statement-2022-optus-data-breach	resources/incidents/09/acma-statement.md	2026-09-23	e89357bd46bea09e76d0694ae144bf771148b581f0c65d3a59889d806318c0ff	Direct ACMA fetch stalled; archived as a rendered Markdown snapshot through r.jina.ai. This corroborates the proceeding but not the mechanism; use the filed concise statement for mechanism claims.
00	Tree of Alpha researcher thread (Thread Reader reproduction)	https://threadreaderapp.com/thread/1495014902582362112.html	resources/incidents/00/tree-of-alpha-thread.html	2026-09-23	204f3f151f592bd09e3e48dd96f36600a0c9ae1fab25d242019cb67bb88cee0a	Reproduces https://twitter.com/Tree_of_Alpha/status/1495014902582362112; fetched by the Codex review pass.
02	BrewDog researcher disclosure	https://www.pentestpartners.com/security-blog/free-brewdog-beer-with-a-side-order-of-shareholder-pii/	resources/incidents/02/brewdog-primary.html	2026-09-23	ce5b0f06d27cc1bbfb8357f6ecb06682649b8e644f45911e9ae2c793321e19f4	Direct HTML response; fetched by the Codex review pass; claims/02.tsv records locators.
03	DPD researcher disclosure	https://www.pentestpartners.com/security-blog/dpd-package-sniffing/	resources/incidents/03/dpd-primary.html	2026-09-23	cb257d55e4d71429f112aefce05d50346c4e4966c997805b1bab28804129eb5c	Direct HTML response; fetched by the Codex review pass; claims/03.tsv records locators.
03	DPD JSON response screenshot	https://www.pentestpartners.com/wp-content/uploads/2022/01/dpdvuln4.png	resources/incidents/03/dpd-json-response.png	2026-09-23	094599f5a3600da6d5b823b45e869f876ef2d673f3adb9c7feecfd33c29b9517	Embedded primary-source screenshot showing notificationDetails fields; mobile value redacted and email null.
04	Instagram researcher disclosure	https://thezerohack.com/hack-any-instagram	resources/incidents/04/instagram-muthiyah.html	2026-09-23	19ac9a5cb3451eb7526aa7ef3e1626718e5429e8d423409770c754ca3a827495	Direct HTML response with line endings and trailing whitespace normalized; current page shows a 2024 revision date despite 2019 disclosure.
04	Instagram disclosure publication metadata	https://thezerohack.com/wp-json/wp/v2/posts/2599	resources/incidents/04/instagram-post-metadata.json	2026-09-23	863ef50ec5fe5551af9e9840f8eadd2ab49cf40999342f4a105d087a5211e39e	Researcher's own site API records publication on 2019-07-14 and modification on 2024-10-19.
04	Twitter HackerOne report 1439026	https://hackerone.com/reports/1439026.json	resources/incidents/04/twitter-hackerone-1439026.json	2026-09-23	e77b0db493855317f7957b2be52da7424cc1f22c93e98f35f7d341182b046907	Direct report JSON; exact claims located by JSON keys and report sections.
04	X vendor incident update	https://privacy.x.com/en/blog/2023/update-about-an-alleged-incident-regarding-twitter-user-data-being-sold-online	resources/incidents/04/twitter-vendor-update.html	2026-09-23	81c6cd6853354f01e9b4d9b5ea3f1e9cdcdd5ba52d3dd73991c4c18b0d94e446	Direct vendor HTML response with line endings and trailing whitespace normalized; separates the July 2022 sale report from confirmed exploitation and 5.4 million affected accounts.
05	Eaton Zveare DEF CON 33 slides	https://media.defcon.org/DEF%20CON%2033/DEF%20CON%2033%20presentations/Eaton%20Zveare%20Roshan%20Piyush%20-%20Unexpected%20Connections%20How%20a%20vulnerability%20in%20obscure%20dealer%20software%20could%20have%20unlocked%20your%20car%20from%20anywhere.pdf	resources/incidents/05/zveare-defcon33-slides.pdf	2026-09-23	48b6ae2408f5ab89ed742a1dcccb1ac03ea800a68dfc7752cb1d91402f479497	Researcher's 77-slide DEF CON 33 deck, dated August 10; slide numbers differ from the draft brief's earlier account.
05	TechCrunch interview with Eaton Zveare	https://techcrunch.com/2025/08/10/security-flaws-in-a-carmakers-web-portal-let-one-hacker-remotely-unlock-cars-from-anywhere/	resources/incidents/05/techcrunch-zveare.html	2026-09-23	89d841c85d1958b49a738805a31006544c6e3ae3e8a7bcc719be5ae10798b054	Direct HTML response with line endings and trailing whitespace normalized; interview corroborates scale, vendor anonymity, response timing and quoted researcher framing.
06	FTC JIT complaint	https://www.ftc.gov/system/files/documents/cases/2._complaint-filed-jit.pdf	resources/incidents/06/ftc-jit-complaint.pdf	2026-09-23	cfa46df60b6e7ef152d039aca163596a99e2c7d479407634cd1342aa54589e43	Direct PDF from search.ftc.gov alternate host; canonical URL shown.
06	FTC JIT stipulated order	https://www.ftc.gov/system/files/documents/cases/4._stipulated_order_for_permanent_injunction_and_civil_penalty-filed-jit.pdf	resources/incidents/06/ftc-jit-order.pdf	2026-09-23	78c5e1ac7b02912f8bdc16e7cb027c2662d8df8b974304a793684c5be0b25158	Direct PDF from search.ftc.gov alternate host; canonical URL shown.
06	FTC BOTS Act release	https://www.ftc.gov/news-events/news/press-releases/2021/01/ftc-brings-first-ever-cases-under-bots-act	resources/incidents/06/ftc-bots-act-release.html	2026-09-23	3f35cb4c0a49af5189fd97bda0cff22e8f26d45a1d751f0ce144cdd92c0adfaf	Direct HTML from search.ftc.gov alternate host; line endings and trailing whitespace normalized.
07	Shopify HackerOne report 341876	https://hackerone.com/reports/341876.json	resources/incidents/07/shopify-hackerone-341876.json	2026-09-23	d0fed9a9f879d51776d051d245a2b62293319c5d57bba9026d630c77d0dedc80	Direct report JSON reformatted with indentation for stable locators; includes Shopify team summary.
